INFO:kafka.conn:<BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
INFO:kafka.conn:Probing node bootstrap-0 broker version
INFO:kafka.conn:<BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
INFO:kafka.conn:Broker version identified as 2.6.0
INFO:kafka.conn:Set configuration api_version=(2, 6, 0) to skip auto check_version requests on startup
INFO:root:Kafka-Python Producer: Producing event for MID 0, {'Temperature_C': 66, 'Timestamp': 1725983122843769427}
INFO:kafka.conn:<BrokerConnection node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
INFO:kafka.conn:<BrokerConnection node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
INFO:kafka.conn:<BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
INFO:root:Kafka-Python Producer: Producing event for MID 1, {'Temperature_C': 57, 'Timestamp': 1725983123046353384}
INFO:root:Kafka-Python Producer: Producing event for MID 2, {'Temperature_C': 63, 'Timestamp': 1725983123246866887}
INFO:root:Kafka-Python Producer: Producing event for MID 0, {'Temperature_C': 65, 'Timestamp': 1725983123447309854}
INFO:root:Kafka-Python Producer: Producing event for MID 1, {'Temperature_C': 57, 'Timestamp': 1725983123647780139}
INFO:root:Kafka-Python Producer: Producing event for MID 2, {'Temperature_C': 63, 'Timestamp': 1725983123848243078}
INFO:root:Kafka-Python Producer: Producing event for MID 0, {'Temperature_C': 65, 'Timestamp': 1725983124048756714}
INFO:root:Kafka-Python Producer: Producing event for MID 1, {'Temperature_C': 58, 'Timestamp': 1725983124249215918}
INFO:root:Kafka-Python Producer: Producing event for MID 2, {'Temperature_C': 64, 'Timestamp': 1725983124449726782}
INFO:root:Kafka-Python Producer: Producing event for MID 0, {'Temperature_C': 65, 'Timestamp': 1725983124650204876}
